scorer,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000
bodyparts,jaw,jaw,jaw,toe-bot,toe-bot,toe-bot,toe-top,toe-top,toe-top,tongue,tongue,tongue
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
25,624.7552959918976,283.983086515218,1.0,224.2187898159027,451.6706862449646,1.0,213.28289783000946,142.25002002716064,1.0,638.2689802646637,282.5849531888962,0.0004960153601132333
26,624.3823449611664,284.19394993782043,1.0,224.19973993301392,451.60043573379517,1.0,213.29164028167725,142.2438850402832,1.0,638.1909618377686,282.30775129795074,0.0006407467881217599
27,623.9834561347961,284.38085490465164,1.0,224.14965271949768,451.5575838088989,1.0,213.27765035629272,142.24218845367432,1.0,638.0679914951324,282.27364349365234,0.0006842495640739799
28,623.6667084693909,284.39339086413383,1.0,224.1744532585144,451.5508952140808,1.0,213.17469954490662,142.20153045654297,1.0,638.0795495510101,282.191854596138,0.0010155674535781145
29,623.0938458442688,284.8800381422043,1.0,224.047212600708,451.476535320282,1.0,213.3011533021927,142.24275493621826,1.0,638.0176804065704,282.55949580669403,0.0011858054203912616
30,621.7814016342163,286.1152153015137,1.0,224.36154460906982,451.29974460601807,1.0,213.31370794773102,141.78114318847656,1.0,637.556828379631,282.5908155441284,0.0008237513829953969
31,618.2767777442932,286.9498429298401,1.0,224.03866815567017,451.1792674064636,1.0,213.41499066352844,141.97910499572754,1.0,630.1585459709167,283.6783781051636,0.05298037827014923
32,617.0547313690186,287.58152532577515,1.0,224.1542067527771,451.19543170928955,1.0,213.6871052980423,141.64667415618896,1.0,629.6760635375977,283.6738848090172,0.009097795933485031
33,618.0257453918457,286.5958340167999,1.0,224.43954992294312,450.76856756210327,1.0,214.11293268203735,141.24932956695557,1.0,630.4808347225189,281.9437506198883,0.006369742564857006
34,617.1338195800781,286.2029604911804,1.0,224.57334852218628,450.52280616760254,1.0,214.30191731452942,141.24068546295166,1.0,629.7298517227173,283.26663303375244,0.928130030632019
35,621.0117309093475,286.306113243103,1.0,224.65656852722168,450.62015104293823,1.0,214.38045167922974,141.03647804260254,1.0,640.0619597434998,285.1906763315201,0.5515666007995605
36,619.8728689700365,284.72143745422363,1.0,224.67195057868958,450.67552852630615,1.0,214.46228289604187,141.0610876083374,1.0,640.7491617202759,284.96569406986237,0.9518367648124695
37,617.9469847679138,284.0166649315506,1.0,224.62678837776184,450.5857310295105,1.0,214.5677947998047,140.9431610107422,1.0,631.2178592681885,298.22705805301666,0.00168430816847831
38,614.9843242168427,285.13325023651123,1.0,224.67266631126404,450.4556493759155,1.0,214.72394108772278,140.6593255996704,1.0,626.572075843811,284.4628378748894,0.00335141085088253
39,614.1141843795776,284.7942560315132,1.0,224.7087414264679,450.38483476638794,1.0,214.8954598903656,140.40465450286865,1.0,625.6877245903015,283.4326656460762,0.0021010872442275286
40,615.1544079780579,284.7334515452385,1.0,224.88809466362,450.48326444625854,1.0,215.03581190109253,140.1899938583374,1.0,626.2453517913818,283.5332972407341,0.0005339976050890982
41,615.6387448310852,283.7082211971283,1.0,225.1884970664978,450.56013345718384,1.0,215.00187253952026,140.31363010406494,1.0,626.8280348777771,283.8080613464117,0.0003647785051725805
42,615.4355750083923,283.59127283096313,1.0,225.26497650146484,450.5455493927002,1.0,214.80776143074036,140.5829734802246,1.0,626.4158344268799,283.37595397233963,0.0004097728815395385
